Indicator Name,GDP per capita growth (annual %),Lagged GDP per capita growth (annual %),Exports (% of GDP),Imports (% of GDP),Inflation (annual %),"FDI, net inflows (% of GDP)","FDI, net outflows (% of GDP)",Gini index ,"Life expectancy, total (years)","Population, total",Rural population,Terms of trade adjustment,Final consumption expenditure (% of GDP),Net investment in nonfinancial assets (% of GDP),Broad money (% of GDP),Broad money growth (annual %),Real interest rate (%),Age dependency ratio,Fuel exports ,Fuel imports ,"Govt. expenditure on education, total (% of GDP)",R&D expenditure (% of GDP)
1975,6.644907,,5.647062,6.646916,5.981859,-0.02968,0,,51.012,6.23E+08,4.90E+08,-2.00E+11,87.22226,0.592517,24.26101,24.48557,,77.16658,0.662989,25.71196,,
1976,-0.6531,,6.686513,6.11469,5.637229,0.013175,0,,51.63,6.38E+08,4.99E+08,-1.80E+11,84.78926,0.420097,28.03064,19.16388,,76.99984,0.562179,25.53926,,
1977,4.825176,,6.383172,6.264929,2.460282,0.031747,0,,52.222,6.52E+08,5.09E+08,-4.70E+10,85.44604,0.451756,29.48112,21.15282,10.77463,76.6139,0.386469,26.09792,,
1978,3.322552,6.644907,6.314825,6.588187,15.72804,0.042485,0.002147,,52.786,6.67E+08,5.18E+08,-1.50E+11,85.98833,0.426506,32.97581,17.71101,-1.06115,76.09044,0.280575,33.17287,,
1979,-7.3881,-0.6531,6.749638,8.169166,11.50832,0.047506,0.001034,,53.319,6.83E+08,5.28E+08,-2.20E+11,85.69155,0.423628,35.39489,15.89767,4.476508,75.53362,0.431299,44.63225,,
1980,4.298982,4.825176,6.139551,9.245026,10.82758,0.035912,0.000498,,53.814,6.99E+08,5.38E+08,-3.20E+11,87.49802,0.489074,34.46655,17.45085,5.118237,75.00092,0.427624,43.6332,,
1981,3.571277,3.322552,5.936027,8.571238,8.095863,0.002584,0.002291,,54.268,7.15E+08,5.48E+08,-2.20E+11,85.76861,0.516935,34.45679,17.20393,7.774707,74.8831,14.81376,,,
1982,1.093954,-7.3881,5.9833,8.142628,8.55286,0.009069,0.001885,32.1,54.686,7.32E+08,5.59E+08,-2.10E+11,85.31944,0.523383,36.10518,16.88716,7.320987,74.74481,16.32823,30.67656,,
1983,4.828036,4.298982,5.837629,7.852964,7.923233,0.045628,0.00129,,55.074,7.49E+08,5.70E+08,-1.30E+10,85.63585,0.634447,36.236,17.9844,7.9471,74.55434,15.57429,31.82366,,
1984,1.464368,3.571277,6.283401,7.725975,7.193785,0.047284,-0.0004,,55.441,7.67E+08,5.82E+08,-1.50E+11,84.96053,0.591142,38.15626,16.88324,8.681674,74.24473,6.038179,26.49115,,
